Timestamp,Air Temperature (°C),Leaf Temperature (°C),Humidity (%),Air VPD (kPa),Leaf VPD (kPa)
2025-02-15 12:31:33,20.1,18.9,47,1.25,1.08
2025-02-15 12:31:43,20.1,18.9,47,1.25,1.08
2025-02-15 12:31:53,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:03,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:13,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:23,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:33,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:43,20.1,18.9,47,1.25,1.08
2025-02-15 12:32:54,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:04,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:14,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:24,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:34,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:44,20.1,18.9,47,1.25,1.08
2025-02-15 12:33:54,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:05,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:15,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:25,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:35,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:45,20.1,18.9,47,1.25,1.08
2025-02-15 12:34:55,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:05,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:15,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:26,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:36,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:46,20.1,18.9,47,1.25,1.08
2025-02-15 12:35:56,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:06,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:16,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:26,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:36,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:47,20.1,18.9,47,1.25,1.08
2025-02-15 12:36:57,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:07,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:17,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:27,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:37,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:48,20.1,18.9,47,1.25,1.08
2025-02-15 12:37:58,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:08,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:18,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:28,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:38,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:48,20.1,18.9,47,1.25,1.08
2025-02-15 12:38:58,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:09,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:19,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:29,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:39,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:49,20.1,18.9,47,1.25,1.08
2025-02-15 12:39:59,20.1,18.9,47,1.25,1.08
2025-02-15 12:40:09,20.1,18.9,47,1.25,1.08
2025-02-15 12:40:19,20.1,18.9,47,1.25,1.08
2025-02-15 12:40:30,20.1,18.9,47,1.25,1.08
2025-02-15 12:40:40,20.1,18.9,47,1.25,1.08
2025-02-15 12:40:50,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:00,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:10,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:20,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:30,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:41,20.1,18.9,47,1.25,1.08
2025-02-15 12:41:51,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:01,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:11,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:21,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:31,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:41,20.1,18.9,47,1.25,1.08
2025-02-15 12:42:51,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:01,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:12,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:22,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:32,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:42,20.1,18.9,47,1.25,1.08
2025-02-15 12:43:52,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:02,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:12,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:23,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:33,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:43,20.1,18.9,47,1.25,1.08
2025-02-15 12:44:53,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:03,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:13,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:23,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:33,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:44,20.1,18.9,47,1.25,1.08
2025-02-15 12:45:54,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:04,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:14,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:24,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:34,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:44,20.1,18.9,47,1.25,1.08
2025-02-15 12:46:54,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:05,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:15,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:25,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:35,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:45,20.1,18.9,47,1.25,1.08
2025-02-15 12:47:55,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:05,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:16,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:26,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:36,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:46,20.1,18.9,47,1.25,1.08
2025-02-15 12:48:56,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:06,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:16,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:26,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:37,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:47,20.1,18.9,47,1.25,1.08
2025-02-15 12:49:57,20.1,18.9,47,1.25,1.08
